File,Branch,Query,filter,order,engine,embeddings,runtime,memory,eps,Algorithm
run_DPiso_DPiso_DPiso_query_dense_16_50.txt,vlabel,query_dense_16_50,DPiso,DPiso,DPiso,88,0.0003,0.0009,293333.3333333334,DPiso-DPiso-DPiso
run_GQL_RI_LFTJ_query_dense_16_150.txt,vlabel,query_dense_16_150,GQL,RI,LFTJ,6,0.0009,0.0005,6666.666666666667,GQL-RI-LFTJ
run_DPiso_DPiso_DPiso_query_dense_16_180.txt,vlabel,query_dense_16_180,DPiso,DPiso,DPiso,1,0.0003,0.0005,3333.3333333333335,DPiso-DPiso-DPiso
run_CaLiG_RI_KSS_query_dense_16_50.txt,vlabel,query_dense_16_50,CaLiG,RI,KSS,88,0.0008,0.0008,110000.0,CaLiG-RI-KSS
run_VEQ_RI_VEQ_query_dense_16_3.txt,vlabel,query_dense_16_3,VEQ,RI,VEQ,8,0.0008,0.0005,10000.0,VEQ-RI-VEQ
run_CaLiG_RI_KSS_query_dense_16_100.txt,vlabel,query_dense_16_100,CaLiG,RI,KSS,16,0.0009,0.0006,17777.777777777777,CaLiG-RI-KSS
run_CaLiG_RI_KSS_query_dense_16_150.txt,vlabel,query_dense_16_150,CaLiG,RI,KSS,6,0.001,0.0005,6000.0,CaLiG-RI-KSS
run_VEQ_RI_VEQ_query_dense_16_180.txt,vlabel,query_dense_16_180,VEQ,RI,VEQ,1,0.001,0.0005,1000.0,VEQ-RI-VEQ
run_DPiso_DPiso_DPiso_query_dense_16_150.txt,vlabel,query_dense_16_150,DPiso,DPiso,DPiso,6,0.0003,0.0006,20000.0,DPiso-DPiso-DPiso
run_CaLiG_RI_KSS_query_dense_16_180.txt,vlabel,query_dense_16_180,CaLiG,RI,KSS,1,0.0014,0.0005,714.2857142857143,CaLiG-RI-KSS
run_GQL_RI_LFTJ_query_dense_16_180.txt,vlabel,query_dense_16_180,GQL,RI,LFTJ,1,0.0007,0.0005,1428.5714285714287,GQL-RI-LFTJ
run_GQL_RI_LFTJ_query_dense_16_50.txt,vlabel,query_dense_16_50,GQL,RI,LFTJ,88,0.0006,0.0008,146666.6666666667,GQL-RI-LFTJ
run_VEQ_RI_VEQ_query_dense_16_150.txt,vlabel,query_dense_16_150,VEQ,RI,VEQ,6,0.0005,0.0005,12000.0,VEQ-RI-VEQ
run_DPiso_DPiso_DPiso_query_dense_16_3.txt,vlabel,query_dense_16_3,DPiso,DPiso,DPiso,8,0.0005,0.0005,16000.0,DPiso-DPiso-DPiso
run_VEQ_RI_VEQ_query_dense_16_100.txt,vlabel,query_dense_16_100,VEQ,RI,VEQ,16,0.0008,0.0006,20000.0,VEQ-RI-VEQ
run_CaLiG_RI_KSS_query_dense_16_3.txt,vlabel,query_dense_16_3,CaLiG,RI,KSS,8,0.0009,0.0005,8888.888888888889,CaLiG-RI-KSS
run_DPiso_DPiso_DPiso_query_dense_16_100.txt,vlabel,query_dense_16_100,DPiso,DPiso,DPiso,16,0.0003,0.0007,53333.333333333336,DPiso-DPiso-DPiso
run_VEQ_RI_VEQ_query_dense_16_50.txt,vlabel,query_dense_16_50,VEQ,RI,VEQ,88,0.0008,0.0008,110000.0,VEQ-RI-VEQ
run_GQL_RI_LFTJ_query_dense_16_3.txt,vlabel,query_dense_16_3,GQL,RI,LFTJ,8,0.0008,0.0005,10000.0,GQL-RI-LFTJ
run_GQL_RI_LFTJ_query_dense_16_100.txt,vlabel,query_dense_16_100,GQL,RI,LFTJ,16,0.0004,0.0006,40000.0,GQL-RI-LFTJ
